Autor	Dimensión	Fecha	Número de catálogo	Procedencia	Serie	Soporte	Tipo de obra	Técnica	Título	URL	Lugar de producción
Anónimo	Alto: 181 cm.;Ancho: 214 cm.	Siglo XII	P007279	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	El evangelista San Marcos y un ángel. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/el-evangelista-san-marcos-y-un-angel-pintura/a366ec74-2325-45b4-ad9e-5cded2cb8b91	
Anónimo	Alto: 200 cm.;Ancho: 223 cm.	Siglo XII	P007280	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Enjuta izquierda arco entrada. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/enjuta-izquierda-arco-entrada-pintura-mural-de-la/71c83952-35e1-4818-9dfb-043dbf77e802	
Anónimo	Alto: 200 cm.;Ancho: 223 cm.	Siglo XII	P007281	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Enjuta derecha arco entrada. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/enjuta-derecha-arco-entrada-pintura-mural-de-la/0e4f5ffb-4df5-4c46-9972-f0d836acb4d5	
Anónimo	Alto: 186 cm.;Ancho: 252 cm.	Siglo XII	P007283	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Dos apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-pintura-mural-de-la-ermita-de-la/ac0f14a1-3d08-4686-918c-440cb1aec203	
Anónimo	Alto: 190 cm.;Ancho: 308 cm.	Siglo XII	P007282	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	La Anunciación y ángel turiferario. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/la-anunciacion-y-angel-turiferario-pintura-mural/d4afebfc-87f3-4f4e-ad46-9d36aa2835d7	
Anónimo	Alto: 190 cm.;Ancho: 189 cm.	Siglo XII	P007286	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Los evangelistas San Mateo y San Lucas. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/los-evangelistas-san-mateo-y-san-lucas-pintura/2998b2de-28a8-4120-815a-8b781be19fe1	
Anónimo	Alto: 190 cm.;Ancho: 274 cm.	Siglo XII	P007287	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Cuatro apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/cuatro-apostoles-pintura-mural-de-la-ermita-de-la/5e7a1392-df41-4a25-bc54-14a0ab53dfba	
Anónimo	Alto: 203 cm.;Ancho: 207 cm.	Siglo XII	P007284	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	El Pecado Original. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/el-pecado-original-pintura-mural-de-la-ermita-de/b9067a97-703f-4f71-9955-c564b06fb650	
Anónimo	Alto: 203 cm.;Ancho: 239 cm.	Siglo XII	P007285	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Creación de Adán. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/creacion-de-adan-pintura-mural-de-la-ermita-de-la/52e8a064-dfad-43db-a9f9-939eeba21869	
Anónimo	Alto: 201 cm.;Ancho: 113 cm.	Hacia  1125	P007263	San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.	Pinturas murales de San Baudelio de Casillas de Berlanga.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Oso. Ermita de San Baudelio. Casillas de Berlanga (Soria)	https://www.museodelprado.es/coleccion/obra-de-arte/oso-ermita-de-san-baudelio-casillas-de-berlanga/4b67cb49-aab9-43fb-b66e-0aa56c25e66d	
Anónimo	Alto: 205 cm.;Ancho: 135 cm.	Hacia  1125	P007264	San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.	Pinturas murales de San Baudelio de Casillas de Berlanga.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Elefante. Ermita de San Baudelio. Casillas de Berlanga (Soria)	https://www.museodelprado.es/coleccion/obra-de-arte/elefante-ermita-de-san-baudelio-casillas-de/ce773332-e8dd-447c-bd22-b57c0778a120	
Anónimo	Alto: 183 cm.;Ancho: 355 cm.	Hacia  1125	P007265	San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.	Pinturas murales de San Baudelio de Casillas de Berlanga.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Cacería de liebres. Ermita de San Baudelio. Casillas de Berlanga (Soria)	https://www.museodelprado.es/coleccion/obra-de-arte/caceria-de-liebres-ermita-de-san-baudelio/2b3c6587-3c57-4ab2-be37-5a1d0231bed8	
Anónimo	Alto: 288 cm.;Ancho: 130 cm.	Hacia  1125	P007266	San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.	Pinturas murales de San Baudelio de Casillas de Berlanga.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Soldado o montero. Ermita de San Baudelio. Casillas de Berlanga (Soria)	https://www.museodelprado.es/coleccion/obra-de-arte/soldado-o-montero-ermita-de-san-baudelio-casillas/e047c51a-a5b9-4b19-b5b3-eaee59382be4	
Anónimo	Alto: 156 cm.;Ancho: 112 cm.	Hacia  1125	P007267	San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.	Pinturas murales de San Baudelio de Casillas de Berlanga.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Cortina. Ermita de San Baudelio. Casillas de Berlanga (Soria)	https://www.museodelprado.es/coleccion/obra-de-arte/cortina-ermita-de-san-baudelio-casillas-de/a3ac59cd-8d16-4a35-bbec-05a3796d976e	
Anónimo	Alto: 185 cm.;Ancho: 246 cm.	Hacia  1125	P007268	San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.	Pinturas murales de San Baudelio de Casillas de Berlanga.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Cacería del ciervo. Ermita de San Baudelio. Casillas de Berlanga (Soria)	https://www.museodelprado.es/coleccion/obra-de-arte/caceria-del-ciervo-ermita-de-san-baudelio/b91ac26a-9f9e-4f3a-b7af-e394601979b2	
Maestro de Lluça (Taller de)	Alto: 102 cm.;Ancho: 108,3 cm.	1200 - 1210	P008119	Capilla de la Magdalena de Solanllong, cerca de Ripoll (Gerona); colección Esteban Planas, Olot, 1935; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.		Tabla	Pintura	Temple	Frontal de Solanllong. Pantocrátor con el Tetramorfos	https://www.museodelprado.es/coleccion/obra-de-arte/frontal-de-solanllong-pantocrator-con-el/e3ca2a80-2a83-4e93-91ee-2b53472d22f3	
Maestro de San Esteve de Andorra	Alto: 241,5 cm.;Ancho: 202 cm.	1200 - 1215	P008126	Ábside central de la iglesia de Sant Esteve, Andorra la Vella (hasta 1924-1928); colección Ròmul Bosch i Rius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.		Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	El Lavatorio	https://www.museodelprado.es/coleccion/obra-de-arte/el-lavatorio/86101742-00c2-42b8-99b9-705e6df45403	
Anónimo	Alto: 104 cm.;Ancho: 135,5 cm.	Primer tercio del siglo XIII	P008118	Ermita mozárabe de Nuestra Señora de Peñalba, Arnedillo (La Rioja); Iglesia parroquial, Arnedillo, 1941-1945; colección Emilio Bernardo de Quirós, Madrid, 1945; colección Várez Fisa, Madrid; Donación Familia Várez Fisa, 2013.		Tabla	Pintura	Temple	Frontal con escenas de infancia de Jesús	https://www.museodelprado.es/coleccion/obra-de-arte/frontal-con-escenas-de-infancia-de-jesus/9894ac85-419a-47b2-85a7-6be95ee37e16	
Anónimo	Alto: 92 cm.;Ancho: 175 cm.	Finales del siglo XIII	P003055	Iglesia de San Esteban de Guils, Cerdaña; colección Plandiura, Barcelona; adquirido por el Museo del Prado a J. A Maragall, Barcelona, 1963.		Tabla	Pintura	Temple	Frontal de Guils	https://www.museodelprado.es/coleccion/obra-de-arte/frontal-de-guils/e65d6579-b6b8-40c0-9655-d9eb86772395	
Anónimo	Alto: 275,3 cm.;Ancho: 189,1 cm.	Finales del siglo XIII	P003150	Donación José Luis Várez Fisa, 1970.		Tabla	Pintura	Temple	Retablo de San Cristóbal	https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-san-cristobal/de262360-2a18-49a5-8082-2608db378297	
Serra, Hermanos (Atribuido a); Destorrens, Ramón (Atribuido a)	Alto: 58 cm.;Ancho: 32 cm.	Siglo XIV	P002676	Legado Pablo Bosch y Barrau, 1916		Tabla	Pintura	Temple	La Virgen de la Humildad con donante	https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-humildad-con-donante/8902f9af-2730-47d1-8005-c2701cee8c62	
Traini, Francesco	Alto: 48 cm.;Ancho: 42 cm.	Hacia  1345	P002944	Colección Real		Tabla	Pintura	Dorado; Témpera	La Virgen con el Niño	https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-con-el-nio/7928cdb7-4df0-4636-a1ae-c3641361b619	
Serra, Jaume	Alto: 280 cm.;Ancho: 92 cm.	1356 - 1359	P003107	Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.		Tabla	Pintura	Temple	Episodios de las vidas de la Magdalena y de san Juan Bautista	https://www.museodelprado.es/coleccion/obra-de-arte/episodios-de-las-vidas-de-la-magdalena-y-de-san/baa1b639-a138-4c41-8b80-f90e54673cbc	
Maestro de Estamariú	Alto: 161 cm.;Ancho: 97 cm.	1357 - 1385	P002535	Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida; adquisición a Apolinar Sánchez Villaba, 1931.	Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida	Tabla	Pintura	Temple	Retablo de la leyenda de Santa Lucía	https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-la-leyenda-de-santa-lucia/03a0a1eb-9da9-4445-8639-1fba3bc8f4d8	
Maestro de Estamariú	Alto: 161 cm.;Ancho: 97 cm.	1357 - 1385	P002536	Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lérida; adquisición a Apolinar Sánchez Villalba, 1931.	Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida	Tabla	Pintura	Temple	Retablo de la leyenda de Santa Lucía	https://www.museodelprado.es/coleccion/obra-de-arte/retablo-de-la-leyenda-de-santa-lucia/fd45c125-4c87-49e2-b769-2c506f5d2af4	
Serra, Jaume	Alto: 280 cm.;Ancho: 92 cm.	1359 - 1362	P003106	Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.		Tabla	Pintura	Temple	Episodios de las vidas de la Magdalena y de san Juan Bautista	https://www.museodelprado.es/coleccion/obra-de-arte/episodios-de-las-vidas-de-la-magdalena-y-de-san/98b8d997-5a43-49a7-92aa-e6e8409c5616	
Serra, Jaume	Alto: 161,4 cm.;Ancho: 117,8 cm.	1359 - 1362	P008117	Iglesia de Santa María de Tobed, hasta final siglo XIX; colección de Román Vicente, Zaragoza, 1908; Fernando Birk Crecelius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.		Tabla	Pintura	Temple	Virgen de Tobed con los donantes Enrique II de Castilla, su mujer, Juana Manuel, y dos de sus hijos, Juan y Juana(?)	https://www.museodelprado.es/coleccion/obra-de-arte/virgen-de-tobed-con-los-donantes-enrique-ii-de/3977d582-961a-4fb9-8a4f-ea7d0573882b	
Maestro de la Madonna della Misericordia	Alto: 35 cm.;Ancho: 39 cm.	Hacia  1370	P002841	Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Colección Joseph Spiridon, Paris, ¿1988?-1929; Colección Toscanelli, Pontedera, 1883.		Tabla	Pintura	Dorado; Témpera	San Eloy en el taller de orfebrería	https://www.museodelprado.es/coleccion/obra-de-arte/san-eloy-en-el-taller-de-orfebreria/a90f2403-fb27-420b-ae9d-5bd95850b780	
Maestro de la Madonna della Misericordia	Alto: 35 cm.;Ancho: 39 cm.	Hacia  1370	P002842	Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Col. Joseph Spiridon, Paris,¿1988?-1929; Col. Toscanelli, Pontedera, 1883.		Tabla	Pintura	Dorado; Témpera	San Eloy ante el rey Clotario	https://www.museodelprado.es/coleccion/obra-de-arte/san-eloy-ante-el-rey-clotario/bce6689e-909a-432a-bf7a-7fac50ea36b1	
Anónimo	Alto: 1142 cm.;Ancho: 605 cm.	Hacia  1400	P008120	Artur Ramón, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.			Pintura	Policromado; Tallado	Artesonado	https://www.museodelprado.es/coleccion/obra-de-arte/artesonado/a53ae65a-fe9b-4370-bcb4-4d27edf79736	
Borrassà, Luis	Alto: 128,2 cm.;Ancho: 84,3 cm.	1400 - 1405	P008116	Catedral de Barcelona, 1936; Rómulo Bosch Catarineu; colección Várez Fisa, 2012.		Tabla de madera de álamo	Pintura	Temple	San Andrés negándose a adorar al ídolo	https://www.museodelprado.es/coleccion/obra-de-arte/san-andres-negandose-a-adorar-al-idolo/39ec035f-ec21-4f35-9b77-47cdff502e89	
Maestro de San Nicolás	Alto: 127 cm.;Ancho: 53 cm.	1401 - 1425	P002684	Legado Pablo Bosch y Barrau, 1916		Tabla	Pintura	Técnica mixta	San Agustín, de pontifical	https://www.museodelprado.es/coleccion/obra-de-arte/san-agustin-de-pontifical/b41c8360-1b69-4573-85b5-81643840bf9d	
Sevilla, Juan de	Alto: 95 cm.;Ancho: 55 cm.	1401 - 1435	P001327	Adquirida por el Patronato del Tesoro Artístico, 1928		Tabla	Pintura	Temple	San Lucas	https://www.museodelprado.es/coleccion/obra-de-arte/san-lucas/61b5e23c-0768-4177-99a2-e98f81bd4836	
Anónimo	Alto: 48 cm.;Ancho: 73 cm.	Siglo XV	P001337	Legado Mariano Lanuza y Fernández, 1940		Tabla	Pintura	Óleo	San Bartolomé, San Pablo y San Andrés	https://www.museodelprado.es/coleccion/obra-de-arte/san-bartolome-san-pablo-y-san-andres/11a9dae6-3f95-4a92-9393-9ccc6b293581	
Anónimo	Alto: 105 cm.;Ancho: 102 cm.	Siglo XV	P002667	Legado Pablo Bosch y Barrau, 1916		Lienzo	Pintura	Óleo	Proyecto de altar	https://www.museodelprado.es/coleccion/obra-de-arte/proyecto-de-altar/bd186574-8993-48c4-97c5-db5c3ed3fd7f	
Espalargues, Pere	Alto: 88 cm.;Ancho: 63 cm.	Siglo XV	P002680	Legado Pablo Bosch y Barrau, 1916		Tabla	Pintura	Temple	La Crucifixión	https://www.museodelprado.es/coleccion/obra-de-arte/la-crucifixion/39094a73-9e6d-419d-b2a6-7716a0b3e9e0	
Anónimo	Alto: 25,5 cm.;Ancho: 17,5 cm.	Siglo XV	P002679	Legado Pablo Bosch y Barrau, 1916		Tabla	Pintura	Óleo	Crucifixión	https://www.museodelprado.es/coleccion/obra-de-arte/crucifixion/b6d81f38-50ae-4096-bbfd-e46bd3c720f0	
Anónimo	Alto: 60 cm.;Ancho: 43 cm.	Siglo XV	P002714	Legado Pablo Bosch y Barrau, 1916		Tabla pasada a lienzo	Pintura	Temple	La Visitación	https://www.museodelprado.es/coleccion/obra-de-arte/la-visitacion/692f8ff4-e23d-457e-a4c8-da2ab4f6a773	
Anónimo (Copia de Campin, Robert)	Alto: 18 cm.;Ancho: 13 cm.	Siglo XV	P003144	Donación Mª Ángeles Sáinz de la Cuesta, condesa viuda de los Moriles, 1969		Tabla	Pintura	Óleo	La Virgen de la Leche	https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-leche/f27f30f5-541f-42af-b92e-01d0de395436	
Francés, Nicolás	Alto: 186 cm.;Ancho: 175 cm.	Siglo XV	P007157	Iglesia de Yebes, Guadalajara; Museo Arqueológico Nacional; Museo del Prado, 1943		Tabla pasada a lienzo	Pintura	Temple	Cristo ante Pilatos	https://www.museodelprado.es/coleccion/obra-de-arte/cristo-ante-pilatos/d28cde19-ad29-4aea-b7b8-153479b8efc2	
El Bosco (Copia)	Alto: 29 cm.;Ancho: 24 cm.	Siglo XV	P002054	Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, 1745, [nº 149]; Quinta del duque del Arco, 1794, nº 151)		Tabla	Pintura	Óleo	Fantasía moral (Visio tondali)	https://www.museodelprado.es/coleccion/obra-de-arte/fantasia-moral-visio-tondali/ed19fa42-83e3-443b-96b1-04261634bb14	
El Bosco (Copia)	Alto: 90 cm.;Ancho: 37 cm.	Siglos XV - XVI	P002051	Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, Capilla del Noviciado, 1839)		Tabla de madera de roble	Pintura	Óleo	Las tentaciones de San Antonio Abad	https://www.museodelprado.es/coleccion/obra-de-arte/las-tentaciones-de-san-antonio-abad/c8f147bd-a03f-42fa-a569-0f110a54d4ca	
El Bosco (Taller de)	Alto: 188 cm.;Ancho: 77 cm.	Siglos XV - XVI	P002053	Colección Real (Palacio Real del Buen Retiro, Madrid, 1794, nº 997; Real Monasterio de San Lorenzo, El Escorial, Madrid, Iglesia Vieja, 1839)		Tabla	Pintura	Óleo	La Creación	https://www.museodelprado.es/coleccion/obra-de-arte/la-creacion/b5cb7209-0009-4b8f-ab20-d6db0617a9fa	
Wertingen, Hans (Atribuido a)	Alto: 47 cm.;Ancho: 32 cm.	Siglos XV - XVI	P002216	Colección Real (Palacio del Buen Retiro, Madrid, cuarto del infante don Luis-pinturas apeadas, 1772, ¿nº 786?; Buen Retiro, 1794, nº 1091).		Tabla	Pintura	Óleo	Federico III, emperador de Alemania	https://www.museodelprado.es/coleccion/obra-de-arte/federico-iii-emperador-de-alemania/5f65e03c-f543-4af7-899e-ce117422d0ac	
Gener, Guerau; Peris, Gonçal	Alto: 155 cm.;Ancho: 87 cm.	1405	P003111	Colección Yakichiro Suma, 1962; adquirido por Junta de Exportación en 1962; asignado al Museo N. del Prado en 1965.		Tabla	Pintura	Temple	Santo Domingo de Guzmán y cuatro santos	https://www.museodelprado.es/coleccion/obra-de-arte/santo-domingo-de-guzman-y-cuatro-santos/bb9e8417-4ea8-4e8e-8dbe-adc9b07e829e	
Colart de Laon (?)	Alto: 47 cm.;Ancho: 33,5 cm.;Alto con marco: 56,5 cm.;Ancho con marco: 42 cm.	1405 - 1408	P008106	Colección Salazar, Vitoria, 1960; Colección privada hasta  2012; Adquirido por el Museo del Prado en la Sala Sotheby's de Madrid, 2012.		Tabla de madera de roble	Pintura	Temple graso	La Oración en el huerto con el donante Luis I de Orleans	https://www.museodelprado.es/coleccion/obra-de-arte/la-oracion-en-el-huerto-con-el-donante-luis-i-de/e095e622-a8c8-47c9-979f-de9dbd40d1bf	
Peris, Gonçal (Atribuido a)	Alto: 161 cm.;Ancho: 92 cm.	Hacia  1410	P002707	Legado Pablo Bosch y Barrau, 1916		Tabla	Pintura	Técnica mixta; Temple	La Virgen con el Niño	https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-con-el-nio/df72ec7b-2aca-40b0-ab4b-296f96b002e7	
Peris, Antoni	Alto: 128 cm.;Ancho: 105 cm.	Hacia  1412	P002532	Donación marqués de Laurencín, 1920.	Retablo de la iglesia del Castillo de Montesa, Valencia	Tabla	Pintura	Temple	Nuestra Señora de Gracia y los grandes maestres de Montesa	https://www.museodelprado.es/coleccion/obra-de-arte/nuestra-seora-de-gracia-y-los-grandes-maestres-de/a862dbc5-7c08-4c65-84dd-b4b21a16e49f	
Lembrí, Pere (?)	Alto: 192 cm.;Ancho: 107 cm.	1410 - 1415	P007809	Colección Garnelo, Madrid; Colección Batlló, Barcelona; Colección particular, Barcelona; Adquirido en Christies en 2002.		Tabla	Pintura	Dorado; Temple	La Virgen de la Leche con el Niño entre san Bernardo de Claraval y san Benito	https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-de-la-leche-con-el-nio-entre-san/9b376cb9-cb0b-4fb1-80c2-12da1fdd09f6	
